algorithm,apogee,argOfPerigee,bStar,classificationMarking,elset_created_at,elset_created_by,dataMode,eccentricity,idElset,idOnOrbit,inclination,line1,line2,meanAnomaly,meanMotion,meanMotionDDot,meanMotionDot,origNetwork,perigee,period,raan,revNo,satNo,semiMajorAxis,source,__START_AT,__END_AT,COUNTRY,LAUNCH,LAUNCH_NUM,LAUNCH_PIECE,NORAD_CAT_ID,OBJECT_ID,OBJECT_NAME,OBJECT_NUMBER,OBJECT_TYPE,RCS_SIZE,SATNAME,SITE,satcat_current_fetch_date
SGP4,6753.828,195.7918,6.5162E-4,U,2024-02-01T05:05:14.309Z,system.ob-ingest,REAL,2.68E-4,5bb4a31f-d077-4bb0-9390-36050db875df,45392,52.9734,1 45392U 20019AJ  24031.92850582 +.00064590 +00000+0 +65162-3 0 99999,2 45392  52.9734 217.4576 0002680 195.7918 164.3012 15.64776640215824,164.3012,15.6477664,0.0,6.459E-4,OPS1,6750.209,92.026,217.4576,21582,45392,6752.018,18th SPCS,2024-01-31T22:17:02.902848Z,2024-02-02T11:04:13.869696Z,US,2020-03-18,19,AJ,45392,2020-019AJ,STARLINK-1290,45392,PAYLOAD,LARGE,STARLINK-1290,AFETR,2024-08-21
SGP4,6926.711,88.5609,0.0011544,U,2024-02-01T05:05:13.763Z,system.ob-ingest,REAL,1.963E-4,6cbb5176-442f-42be-8258-4def246cf254,45546,53.0545,1 45546U 20025R   24031.76163492 +.00016955 +00000+0 +11544-2 0 99992,2 45546  53.0545 313.9840 0001963  88.5609 271.5605 15.06399056209349,271.5605,15.06399056,0.0,1.6955E-4,OPS1,6923.992,95.592,313.984,20934,45546,6925.351,18th SPCS,2024-01-31T18:16:45.257088Z,2024-02-01T02:14:26.932128Z,US,2020-04-22,25,R,45546,2020-025R,STARLINK-1375,45546,PAYLOAD,LARGE,STARLINK-1375,AFETR,2024-08-21
SGP4,6913.429,131.1982,0.0015799,U,2024-01-31T23:05:15.091Z,system.ob-ingest,REAL,2.878E-4,b5663cca-6f0c-4622-b0f2-5bab57b595b3,45666,53.054,1 45666U 20035K   24031.68537549 +.00026457 +00000+0 +15799-2 0 99999,2 45666  53.0540 273.1159 0002878 131.1982 228.9258 15.10949441202585,228.9258,15.10949441,0.0,2.6457E-4,OPS1,6909.451,95.304,273.1159,20258,45666,6911.44,18th SPCS,2024-01-31T16:26:56.442336Z,2024-02-01T16:15:41.634144Z,US,2020-06-04,35,K,45666,2020-035K,STARLINK-1449,45666,PAYLOAD,LARGE,STARLINK-1449,AFETR,2024-08-21
SGP4,6926.408,90.5224,5.7186E-5,U,2024-01-31T15:05:12.998Z,system.ob-ingest,REAL,1.503E-4,8f018329-0fd3-45bf-99ab-be3eb329867c,45773,53.0547,1 45773U 20038AV  24031.42159141 +.00000570 +00000+0 +57186-4 0 99997,2 45773  53.0547  45.5111 0001503  90.5224 269.5937 15.06393953201929,269.5937,15.06393953,0.0,5.7E-6,OPS1,6924.326,95.593,45.5111,20192,45773,6925.367,18th SPCS,2024-01-31T10:07:05.497824Z,2024-02-01T10:00:10.677600Z,US,2020-06-13,38,AV,45773,2020-038AV,STARLINK-1482,45773,PAYLOAD,LARGE,STARLINK-1482,AFETR,2024-08-21
SGP4,6859.108,107.9215,5.449E-4,U,2024-01-31T07:05:12.973Z,system.ob-ingest,REAL,2.941E-4,2d71e2a4-e265-40db-8ada-5802d1a0dcd9,45779,53.0292,1 45779U 20038BB  24031.11753138 +.00015207 +00000+0 +54490-3 0 99992,2 45779  53.0292   1.7659 0002941 107.9215 252.2105 15.28948351202663,252.2105,15.28948351,0.0,1.5207E-4,OPS1,6855.075,94.182,1.7659,20266,45779,6857.092,18th SPCS,2024-01-31T02:49:14.711232Z,2024-02-01T03:55:17.601888Z,US,2020-06-13,38,BB,45779,2020-038BB,STARLINK-1492,45779,PAYLOAD,LARGE,STARLINK-1492,AFETR,2024-08-21
SGP4,6926.445,94.1844,1.3924E-5,U,2024-01-31T07:05:13.088Z,system.ob-ingest,REAL,1.562E-4,6470f2f7-080d-4919-b2f4-7e75b0bbf195,46032,53.0561,1 46032U 20055F   24031.05944744 -.00000074 +00000+0 +13924-4 0 99997,2 46032  53.0561 337.1348 0001562  94.1844 265.9324 15.06395080192527,265.9324,15.0639508,0.0,-7.4E-7,OPS1,6924.282,95.592,337.1348,19252,46032,6925.364,18th SPCS,2024-01-31T01:25:36.258816Z,2024-02-01T01:18:42.001056Z,US,2020-08-07,55,F,46032,2020-055F,STARLINK-1555,46032,PAYLOAD,LARGE,STARLINK-1555,AFETR,2024-08-21
SGP4,6926.251,106.6583,8.6457E-4,U,2024-02-01T07:05:13.964Z,system.ob-ingest,REAL,1.366E-4,77bb8ad3-0bfa-4da0-9081-53c12c8c9e31,46070,53.0546,1 46070U 20055AV  24031.98274924 +.00012624 +00000+0 +86457-3 0 99990,2 46070  53.0546 302.9803 0001366 106.6583 253.4556 15.06414075193064,253.4556,15.06414075,0.0,1.2624E-4,OPS1,6924.359,95.591,302.9803,19306,46070,6925.305,18th SPCS,2024-01-31T23:35:09.534336Z,2024-02-01T18:41:38.160960Z,US,2020-08-07,55,AV,46070,2020-055AV,STARLINK-1536,46070,PAYLOAD,LARGE,STARLINK-1536,AFETR,2024-08-21
SGP4,6926.03,101.7959,-1.9093E-4,U,2024-02-01T05:05:13.818Z,system.ob-ingest,REAL,9.49E-5,01a05ce9-6629-495d-91fa-5140375d706a,46127,53.0519,1 46127U 20057L   24031.68512563 -.00003123 +00000+0 -19093-3 0 99994,2 46127  53.0519 144.3196 0000949 101.7959 258.3137 15.06392251190583,258.3137,15.06392251,0.0,-3.123E-5,OPS1,6924.715,95.593,144.3196,19058,46127,6925.372,18th SPCS,2024-01-31T16:26:34.854432Z,2024-02-01T11:33:03.525984Z,US,2020-08-18,57,L,46127,2020-057L,STARLINK-1621,46127,PAYLOAD,LARGE,STARLINK-1621,AFETR,2024-08-21
SGP4,6926.019,94.0712,-4.2429E-4,U,2024-01-31T23:05:15.311Z,system.ob-ingest,REAL,1.101E-4,845fa708-55d1-48bd-b058-847bd8901ed3,46355,53.0535,1 46355U 20062AG  24031.54137778 -.00006601 +00000+0 -42429-3 0 99992,2 46355  53.0535 224.9709 0001101  94.0712 266.0403 15.06430009188539,266.0403,15.06430009,0.0,-6.601E-5,OPS1,6924.494,95.59,224.9709,18853,46355,6925.257,18th SPCS,2024-01-31T12:59:35.040192Z,2024-02-01T14:28:13.623744Z,US,2020-09-03,62,AG,46355,2020-062AG,STARLINK-1661,46355,PAYLOAD,LARGE,STARLINK-1661,AFETR,2024-08-21
SGP4,6926.217,88.2968,9.335E-6,U,2024-01-31T05:05:13.671Z,system.ob-ingest,REAL,1.236E-4,d034b37d-baa3-4585-9bd9-49bb65331358,46383,53.053,1 46383U 20062BL  24030.85211201 -.00000142 +00000+0 +93350-5 0 99994,2 46383  53.0530 228.0625 0001236  88.2968 271.8162 15.06395971188426,271.8162,15.06395971,0.0,-1.42E-6,OPS1,6924.505,95.592,228.0625,18842,46383,6925.361,18th SPCS,2024-01-30T20:27:02.477664Z,2024-02-01T12:15:31.694400Z,US,2020-09-03,62,BL,46383,2020-062BL,STARLINK-1770,46383,PAYLOAD,LARGE,STARLINK-1770,AFETR,2024-08-21
